Nom_Table;TYPE_TABLE;Libellé_Table;Année_Présence;Année_Suppression;Variables de  jointure;champ;Contenu et observations;Règles_Gestion;Concept
T_MCOaaA;Séjour;Acte CCAM;2005;;ETA_NUM et RSA_NUM;Public et Privé;"Cette Table contients les actes CCAM réalisés au cours des séjours : Lorsque le séjour < 1 jour les actes CCAM sont tous saisis -Sinon seuls les Codes ""Classants"" sont obligatoirement saisis - pour le détail des règles, il faut se référer à l'onglet ""CCAM"". Ne contient pas d'actes relatifs aux RSA fictifs pas besoin de filtrer";1-compress code_ccam;
T_MCOaaB;Séjour;Description du Séjour;2005;;ETA_NUM et RSA_NUM;Public et Privé;"cette table fournit le GHM, la durée globale du séjour…ensemble des variables servant au calcul tarifaire pour la T2A. Pour avoir le détail des règles de calcul des séjours, il faut se référer à l'onglet ""GHM-GHS"". Attention des RSA fictifs qu'ils faut filtrer =>voir règle de gestion pour les supprimer.";"1- Une ligne par séjour (ETA_NUM/RSA_NUM)
2-RSA Fictifs(Attention ne concerne que les établissements ex-OQN (privés)): Pour supprimer les RSA fictifs, ce sont des RSA alors qu'il n'y a pas eu d'hospitalisation (pb techinque informatique : ils se gérèrent automatiquement) cela ne concerne que les étab privés (ex-OQN);
Tous les RSA fictifs sont classes en GHM 90Z00Z 
Where MCO08B GRG_GH <> '90Z00Z'
Or GRG_RET <>""24""
Or ENT_MOD is not missing";
T_MCOaaC;Séjour;NIR patient et Dates de soin;2005;;ETA_NUM et RSA_NUM;Public et Privé;"Cette table fournit les informations d'identification du patient (permet de chaîner avec DCIR), elle contient 1 ligne par RSA (table MCOB). Les codes retour nous informent sur la qualité dev NIR_ANO_17 et non pas sur le séjour; Pour les codes retour qui ne valent pas 0, cela signifie donc que le NIR_ANO_17 n'est pas bon (env. 2% des lignes; cf onglet ""Filtres"") mais le séjour est quant à lui correct. Attention il y a de RSA fictifs qu'ils faut filtrer, voir règles de gestion pour les supprimer (pas de possibilté de filtrer sans croiser avec la table MCOB).";"1-une ligne par triplet (BEN_NIR_IDT / ETA_NUM / RSA_NUM)
2-Pour supprimer les NIR fictifs, Les NIR sont fictifs mais les actes semble réelles :Where NIR_ANO_17
MCO08C NIR_RET <>'0' OR   
MCO08C NAI_RET <>'0' OR   
MCO08C SEX_RET <>'0' OR   
MCO08C SEJ_RET <>'0' OR   
MCO08C FHO_RET <>'0' OR   
MCO08C PMS_RET <>'0' OR   
MCO08C DAT_RET <>'0' OR   
MCO08C NIR_ANO_17  in ( '4B9QHRFMQZNFEBB3D' , 'xxxxxxxxxxxxxxxxx' , 'XXXXXXXXXXXXXXXXD')
3- Autres NIR fictifs très fréqunet liés au GHM=14Z08Z  (IVG)
4- Lorsqu'une personne est admise dans un établissement de santé ou y reçoit des soins en demandant à garder l'anonymat conformément aux articles R. 1112-28 et R. 1112-38 du code de la santé publique, les informations d'identification sont limitées à l’identifiant dit numéro de RSS, à l'année de naissance, au sexe et au numéro administratif de séjour
5- NIR_ANO_17 présent plus de 365 fois dans la base MCOCSTC, surement des fictifs!
6-RSA Fictifs(Attention ne concerne que les établissements ex-OQN (privés)): Pour supprimer les RSA fictifs, ce sont des RSA alors qu'il n'y a pas eu d'hospitalisation (pb techinque informatique : ils se gérèrent automatiquement) cela ne concerne que les étab privés (ex-OQN);
Tous les RSA fictifs sont classes en GHM 90Z00Z 
Where MCO08B GRG_GH <> '90Z00Z'
Or GRG_RET <>""24""
Or ENT_MOD is not missing";
T_MCOaaD;Séjour;Diagnostic associé;2005;;ETA_NUM et RSA_NUM;Public et Privé;Cette table fournit les diagnostiques associés significatifs. Pour 1 RSA ( table MCOB), il peut y avoir plusieurs DAS (ou aucun). Souvent plusieurs fois le même DAS pour le même séjour (doublons de DAS). Attention il y a de RSA fictifs qu'ils faut filtrer =>voir règles de gestion pour les supprimer (pas de possibilté de filtrer sans croiser avec la table MCOB).;"1-RSA Fictifs(Attention ne concerne que les établissements ex-OQN (privés)): Pour supprimer les RSA fictifs, ce sont des RSA alors qu'il n'y a pas eu d'hospitalisation (pb techinque informatique : ils se gérèrent automatiquement) cela ne concerne que les étab privés (ex-OQN);
Tous les RSA fictifs sont classes en GHM 90Z00Z 
Where MCO08B GRG_GH <> '90Z00Z'
Or GRG_RET <>""24""
Or ENT_MOD is not missing";
T_MCOaaE;Séjour;Etablissement;2005;;ETA_NUM;Public et Privé;"1 ligne par étab: 857 ex-DG et 1177 ex-OQN;  
Par exemple pour l'année 2010: il y a 30 étab en + : 93 nouveaux finess (dont les hôpitaux militaires : REG_ETA=""SERVICE DE SANTE DES ARMEES"" ) et 63 ont disparu - 98,7% ont transmis les 12 mois.";;
T_MCOaaUM;Séjour;Unité médicale;2006;;ETA_NUM et RSA_NUM;Public et Privé;"Cette table contient tous les RUM (Résumé d'Unité Médical) d'un séjour; Il y a une ligne par RUM ms l'UM n'est toujours renseigné. Attention il y a de RSA fictifs qu'ils faut filtrer =>voir règles de gestion pour les supprimer (pas de possibilté de filtrer sans croiser avec la table MCOB).";"1-RSA Fictifs(Attention ne concerne que les établissements ex-OQN (privés)): Pour supprimer les RSA fictifs, ce sont des RSA alors qu'il n'y a pas eu d'hospitalisation (pb techinque informatique : ils se gérèrent automatiquement) cela ne concerne que les étab privés (ex-OQN);
Tous les RSA fictifs sont classes en GHM 90Z00Z 
Where MCO08B GRG_GH <> '90Z00Z'
Or GRG_RET <>""24""
Or ENT_MOD is not missing";
T_MCOaaGV2017;Séjour;Table de passage en version de GHM à partir de mars de l'année;2016;;;Public et Privé;"
version de mars de l'année";;
T_MCOaaGV2018;Séjour;Table de passage en version de GHM à partir de mars de l'année suivante;2017;;;Public et Privé;"
version de mars de l'année suivante";;
T_MCOaaUPGV;Séjour;Types d'autorisations d'unités médicales à portée globale valides;2012;;;Public et Privé;;;
T_MCOaaLEG;Séjour;Fichier donnant toutes les erreurs détectées par la fonction groupage;2014;;;Public et Privé;;;
