"nom_table";"TEC_COL";"CPT_COP_NUM";"DDP_COD";"DDP_LIB";"DDP_SPE_COD";"DDP_GDE_COD";"DDP_LHS"
"IR_DDP_V";0;NA;158;"STOMATOLOGIE ET CHIRURGIE MAXILLO-FACIALE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;159;"STOMATOLOGIE";22;2;1
"IR_DDP_V";0;NA;160;"CHIRURGIE MAXILLO-FACIALE";22;2;1
"IR_DDP_V";0;NA;161;"UROLOGIE";22;2;1
"IR_DDP_V";0;NA;162;"O.R.L.-OPHTALMOLOGIE ET STOMATOLOGIE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;163;"GYNECOLOGIE, OBSTETRIQUE INDIFFERENCIEES";30;3;1
"IR_DDP_V";0;NA;164;"GYNECOLOGIE";30;3;1
"IR_DDP_V";0;NA;165;"OBSTETRIQUE";30;3;1
"IR_DDP_V";0;NA;166;"CHRONIQUES ET CONVALESCENTS INDIFFERENCIES";41;4;1
"IR_DDP_V";0;NA;167;"CHRONIQUES";41;4;1
"IR_DDP_V";0;NA;168;"REPOS-CONVALESCENCE-REGIME INDIFFERENCIES";42;4;1
"IR_DDP_V";0;NA;169;"REPOS";42;4;1
"IR_DDP_V";0;NA;170;"CONVALESCENCE";42;4;1
"IR_DDP_V";0;NA;171;"REGIME DIETETIQUE";42;4;1
"IR_DDP_V";0;NA;172;"REEDUCATION FONCTIONNELLE ET READAPTATION POLYVALENTE";43;4;1
"IR_DDP_V";0;NA;173;"CURE THERMALE INDIFFERENCIEE";44;4;1
"IR_DDP_V";0;NA;174;"MEDECINE GENERALE ET SPECIALITES MEDICALES INDIFFERENCIEES";11;1;1
"IR_DDP_V";0;NA;176;"LONG SEJOUR POUR PERSONNES AYANT PERDU LEUR AUTONOMIE DE VIE";50;5;1
"IR_DDP_V";0;NA;177;"CURE MEDICALE EN ETABLISSEMENT D HEBERGEMENT POUR PERSONNES AGEES";101;10;2
"IR_DDP_V";0;NA;178;"REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE";43;4;1
"IR_DDP_V";0;NA;179;"REEDUCATION FONCTIONNELLE ET READAPTATION NEUROLOGIQUE";43;4;1
"IR_DDP_V";0;NA;180;"REEDUCATION DES AFFECTIONS RESPIRATOIRES";43;4;1
"IR_DDP_V";0;NA;181;"CHIRURGIE GENERALE ET SPECIALITES CHIRURGICALES INDIFFERENCIEES";21;2;1
"IR_DDP_V";0;NA;182;"REEDUCATION DES MALADIES CARDIO-VASCULAIRES";43;4;1
"IR_DDP_V";0;NA;183;"OBSTETRIQUE SANS POSSIBILITE CHIRURGICALE";30;3;1
"IR_DDP_V";0;NA;184;"REEDUCATION DES AFFECTIONS HEPATO-DIGESTIVES";43;4;1
"IR_DDP_V";0;NA;185;"REPOS-CONVALESCENCE INDIFFERENCIES";42;4;1
"IR_DDP_V";0;NA;187;"AUTRES REEDUCATIONS FONCTIONNELLES ET READAPTATIONS";43;4;1
"IR_DDP_V";0;NA;189;"CURE THERMALE DES VOIES RESPIRATOIRES";44;4;1
"IR_DDP_V";0;NA;190;"CURE THERMALE DE L APPAREIL CARDIO-VASCULAIRE";44;4;1
"IR_DDP_V";0;NA;191;"CURE THERMALE DES AFFECTIONS HEPATO-DIGESTIVES";44;4;1
"IR_DDP_V";0;NA;192;"CURE THERMALE DE L APPAREIL GENITO-URINAIRE";44;4;1
"IR_DDP_V";0;NA;193;"CURE THERMALE EN RHUMATOLOGIE ET SEQUELLES DE TRAUMATISMES OSTEO-ARTICULAIRES";44;4;1
"IR_DDP_V";0;NA;194;"CURE THERMALE EN DERMATOLOGIE";44;4;1
"IR_DDP_V";0;NA;195;"LUTTE CONTRE LES TOXICOMANIES (AUTRES QUE L ALCOOLISME)";60;6;1
"IR_DDP_V";0;NA;196;"LUTTE CONTRE L ALCOOLISME (ALCOOLOGIE)";60;6;1
"IR_DDP_V";0;NA;198;"LUTTE CONTRE LE CANCER";12;1;1
"IR_DDP_V";0;NA;206;"LUTTE ANTI-HANSENIENNE";48;4;1
"IR_DDP_V";0;NA;212;"SOINS EN EHPAD / ETABLISSEMENTS D?HEBERGEMENT POUR PERSONNES AGEES.";101;10;2
"IR_DDP_V";0;NA;214;"POST-CURE POUR ALCOOLIQUES";45;4;1
"IR_DDP_V";0;NA;217;"LUTTE CONTRE LA TUBERCULOSE INDIFFERENCIEE";46;4;1
"IR_DDP_V";0;NA;219;"LUTTE CONTRE LA TUBERCULOSE PULMONAIRE (SANATORIUM PULMONAIRE, HOTEL DE CURES)";46;4;1
"IR_DDP_V";0;NA;220;"LUTTE CONTRE LA TUBERCULOSE EXTRA PULMONAIRE";46;4;1
"IR_DDP_V";0;NA;221;"CURE ET REPOS PREVENTORIUM";46;4;1
"IR_DDP_V";0;NA;222;"TRAITEMENTS PREVENTIFS DE LA TUBERCULOSE (AERIUM)";46;4;1
"IR_DDP_V";0;NA;223;"MEDECINE GENERALE OU POLYVALENTE";11;1;1
"IR_DDP_V";0;NA;224;"OBSERVATION ET TRAITEMENT DES PNEUMOCONIOSES";46;4;1
"IR_DDP_V";0;NA;225;"MEDECINE INTERNE";11;1;1
"IR_DDP_V";0;NA;226;"ACCUEIL ET ORIENTATION DES MALADES ATTEINTS OU SUSPECTES DE LA TURBERCULOSE PULMONAIRE (CENTRE DEPARTEMENTAL DE PHTISIOLOGIE)";46;4;1
"IR_DDP_V";0;NA;227;"POST-CURE POUR TUBERCULEUX";46;4;1
"IR_DDP_V";0;NA;230;"PSYCHIATRIE GENERALE";60;6;1
"IR_DDP_V";0;NA;235;"SOINS INTENSIFS DE NEONATALOGIE";15;1;1
"IR_DDP_V";0;NA;236;"PSYCHIATRIE INFANTO-JUVENILE";60;6;1
"IR_DDP_V";0;NA;252;"HEBERGEMENT ET SOINS EN POUPONNIERE A CARACTERE SANITAIRE";47;4;1
"IR_DDP_V";0;NA;263;"PLACEMENT FAMILIAL SANITAIRE";47;4;1
"IR_DDP_V";0;NA;267;"ACTION MEDICO SOCIALE PRECOCE POUR ENFANTS POLYHANDICAPES";84;8;2
"IR_DDP_V";0;NA;268;"ACTION MEDICO SOCIALE PRECOCE POUR AUTRES  CATEGORIES DE CLIENTELE";84;8;2
"IR_DDP_V";0;NA;269;"SOINS DE TYPE FOYER A DOUBLE TARIFICATION POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;270;"EDUC. GENE. ET SOINS SPECIAL. POUR ENFANTS DEFICIENTS INTELLECTUELS";83;8;2
"IR_DDP_V";0;NA;271;"EDUC. GENE. ET SOINS SPECIAL. POUR TOUS TYPES DE DEFICIENCES";83;8;2
"IR_DDP_V";0;NA;273;"HEBERGEMENT EN SERVICE DE SOINS DE LONGUE DUREE";86;8;2
"IR_DDP_V";0;NA;278;"AIDE PSYCHOLOGIQUE UNIVERSITAIRE";86;8;2
"IR_DDP_V";0;NA;279;"EDUCATION GENERALE ET SOINS POUR ARRIERES PROFONDS";81;8;2
"IR_DDP_V";0;NA;280;"EDUCATION GENERALE ET SOINS POUR ARRIERES PROFONDS ET DEBILES PROFONDS";81;8;2
"IR_DDP_V";0;NA;281;"EDUCATION GENERALE ET SOINS POUR DEBILES PROFONDS";81;8;2
"IR_DDP_V";0;NA;282;"EDUCATION GENERALE ET SOINS POUR DEBILES MOYENS";81;8;2
"IR_DDP_V";0;NA;293;"EDUCATION GENERALE ET SOINS POUR INFIRMES MOTEUR CEREBRAUX";82;8;2
"IR_DDP_V";0;NA;294;"EDUCATION GENERALE ET SOINS POUR INFIRMES MOTEURS";82;8;2
"IR_DDP_V";0;NA;295;"EDUCATION GENER. ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS VISUELS";83;8;2
"IR_DDP_V";0;NA;296;"EDUCATION GENERALE ET SOINS POUR AVEUGLES";83;8;2
"IR_DDP_V";0;NA;297;"EDUCATION GENERALE ET SOINS POUR AMBLYOPES";83;8;2
"IR_DDP_V";0;NA;298;"EDUCATION GENER.ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS AUDITIFS";83;8;2
"IR_DDP_V";0;NA;299;"EDUCATION GENERALE ET SOINS POUR SOURDS";83;8;2
"IR_DDP_V";0;NA;300;"EDUCATION GENERALE ET SOINS POUR MAL-ENTENDANTS";83;8;2
"IR_DDP_V";0;NA;301;"EDUCATION GENERALE ET SOINS POUR DEFICIENTS VISUELS ET AUDITIFS";83;8;2
"IR_DDP_V";0;NA;302;"CHIMIOTHERAPIE EN HEMATOLOGIE ET CANCEROLOGIE";12;1;1
"IR_DDP_V";0;NA;303;"URGENCE MEDICALE (SERVICE DE PORTE)";11;1;1
"IR_DDP_V";0;NA;304;"TRANSPLANTATION DU FOIE";22;2;1
"IR_DDP_V";0;NA;305;"TRANSPLANTATIONS RENALES";22;2;1
"IR_DDP_V";0;NA;306;"TRANSPLANTATION CARDIAQUES";22;2;1
"IR_DDP_V";0;NA;307;"URGENCE CHIRURGICALE (SERVICE DE PORTE)";21;2;1
"IR_DDP_V";0;NA;308;"URGENCE INDIFFERENCIEE (SERVICE DE PORTE)";11;1;1
"IR_DDP_V";0;NA;309;"INTERRUPTION VOLONTAIRE DE GROSSESSE";30;3;1
"IR_DDP_V";0;NA;310;"EXAMENS DE SANTE ET BILANS";11;1;1
"IR_DDP_V";0;NA;311;"TRANSPLANTATION COEUR-POUMON";22;2;1
"IR_DDP_V";0;NA;312;"NEPHROLOGIE";12;1;1
"IR_DDP_V";0;NA;313;"PSYCHIATRIE - SOINS SANS CONSENTEMENTS";60;6;1
"IR_DDP_V";0;NA;314;"ALLOGREFFE DE MOELLE OSSEUSE";22;2;1
"IR_DDP_V";0;NA;316;"AUTRE TRANSPLANTATION D ORGANE (GRELE, POUMON, PANCREAS, MULTIGREFFE,...)";22;2;1
"IR_DDP_V";0;NA;318;"ACTION MEDICO-SOCIALE PRECOCE POUR TOUS TYPES DE DEFICIENCES";84;8;2
"IR_DDP_V";0;NA;319;" SOINS ET EDUCATION SPECIALISEE A DOMICILE POUR ENFANTS HANDICAPES";85;8;2
"IR_DDP_V";0;NA;320;"ACTIVITE DES CENTRES MEDICO-PSYCHO-PEDAGOGIQUES.";85;8;2
"IR_DDP_V";0;NA;321;"ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS DEFICIENTS AUDITIFS";84;8;2
"IR_DDP_V";0;NA;322;"ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS DEFICIENTS VISUELS";84;8;2
"IR_DDP_V";0;NA;323;"ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS ATTEINTS DE TROUBLES MOTEURS";84;8;2
"IR_DDP_V";0;NA;324;"ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS DEFICIENTS INTELLECTUELS";84;8;2
"IR_DDP_V";0;NA;325;"PLACEMENT FAMILIAL SPECIALISE POUR ENFANTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;333;"HEBERGEMENT OUVERT POUR HANDICAPES PHYSIQUES";93;9;2
"IR_DDP_V";0;NA;334;"HEBERGEMENT OUVERT POUR HANDICAPES MENTAUX";93;9;2
"IR_DDP_V";0;NA;338;"REEDUCATION PROFESSIONNELLE POUR ADULTES DEFICIENTS MOTEURS";91;9;2
"IR_DDP_V";0;NA;339;"REEDUCATION PROFESSIONNELLE POUR ADULTES DEFICIENTS INTELLECTUELS";91;9;2
"IR_DDP_V";0;NA;340;"HEBERGEMENT EN MAISON D ACCUEIL SPECIALISE POUR HANDICAPES PHYSIQUES";92;9;2
"IR_DDP_V";0;NA;341;"HEBERGEMENT EN MAISON D ACCUEIL SPECIALISE POUR ADULTES HANDICAPES";92;9;2
"IR_DDP_V";0;NA;342;"HEBERGEMENT EN MAISON D ACCUEIL SPECIALISE POUR HANDICAPES PHYSIQUES";92;9;2
"IR_DDP_V";0;NA;343;"HOSPICE INDIFFERENCIE";101;10;2
"IR_DDP_V";0;NA;344;"HOSPICE POUR PERSONNES VALIDES";101;10;2
"IR_DDP_V";0;NA;345;"HOSPICE POUR PERSONNES SEMI-VALIDES";101;10;2
"IR_DDP_V";0;NA;346;"HOSPICE POUR PERSONNES INVALIDES";101;10;2
"IR_DDP_V";0;NA;347;"MAISON DE RETRAITE";101;10;2
"IR_DDP_V";0;NA;348;"MAISON DE RETRAITE VALIDES";101;10;2
"IR_DDP_V";0;NA;349;"MAISON DE RETRAITE INVALIDES";101;10;2
"IR_DDP_V";0;NA;350;"LOGEMENT FOYER POUR PERSONNES AGEES (F1)";101;10;2
"IR_DDP_V";0;NA;351;"LOGEMENT FOYER POUR PERSONNES AGEES (F2)";101;10;2
"IR_DDP_V";0;NA;352;"LOGEMENT FOYER POUR PERSONNES AGEES F2 (UTILISER DANS TANDEM)";101;10;2
"IR_DDP_V";0;NA;355;"ACTIVITE DES CENTRES DE JOUR POUR PERSONNES AGEES";102;10;2
"IR_DDP_V";0;NA;358;"SOINS A DOMICILE";102;10;2
"IR_DDP_V";0;NA;381;"HEBERGEMENT DES FAMILLES DES PERSONNES HOSPITALISEES (OU HEBERGEES)";110;11;2
"IR_DDP_V";0;NA;389;"LUTTE CONTRE LA STERILITE";30;3;1
"IR_DDP_V";0;NA;397;"HEBERGEMENT EN MAISON D ACCUEIL SPECIALISE POUR SUR-HANDICAPES";92;9;2
"IR_DDP_V";0;NA;398;"PLACEMENT FAMILIAL SPECIALISE POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;399;"PREORIENTATION POUR ADULTES HANDICAPES";91;9;2
"IR_DDP_V";0;NA;401;"UNITE DE PROXIMITE D ACCUEIL DE TRAITEMENT ET D ORIENTATION DES URGENCES (UPATOU)";13;1;1
"IR_DDP_V";0;NA;402;"SERVICE D ACCUEIL ET DE TRAITEMENT DES URGENCES (SAU)";13;1;1
"IR_DDP_V";0;NA;403;"POLE SPECIALISE D URGENCE (POSU) EN PEDIATRIE";13;1;1
"IR_DDP_V";0;NA;404;"POLE SPECIALISE D URGENCE (POSU) EN OPHTALMOLOGIE";13;1;1
"IR_DDP_V";0;NA;405;"POLE SPECIALISE D URGENCE (POSU) EN CARDIOLOGIE";13;1;1
"IR_DDP_V";0;NA;406;"POLE SPECIALISE D URGENCE (POSU) EN TRAUMATOLOGIE";13;1;1
"IR_DDP_V";0;NA;407;"POLE SPECIALISE D URGENCE (POSU) EN SOS MAIN";13;1;1
"IR_DDP_V";0;NA;408;"POLE SPECIALISE D URGENCE (POSU) EN NEUROCHIRURGIE";13;1;1
"IR_DDP_V";0;NA;409;"AUTRE POLE SPECIALISE D URGENCE (POSU) EN NON DENOMME AILLEURS";13;1;1
"IR_DDP_V";0;NA;411;"EVALUATION DES SITUATIONS DES PERSONNES";93;9;2
"IR_DDP_V";0;NA;457;"CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE INDIFFERENCIEE";46;4;1
"IR_DDP_V";0;NA;458;"CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE PULMONAIRE";46;4;1
"IR_DDP_V";0;NA;459;"CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE EXTRA -PULMONAIRE";46;4;1
"IR_DDP_V";0;NA;460;"CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE (PREVENTORIUM)";46;4;1
"IR_DDP_V";0;NA;462;"AUTRE CURE MEDICALE SPECIALISEE POUR ENFANTS (AERIUM)";47;4;1
"IR_DDP_V";0;NA;463;"AUTRE CURE MEDICALE SPECIALISEE POUR TOUS AGES";48;4;1
"IR_DDP_V";0;NA;464;"CURE MEDICALE SPECIALISEE EN PNEUMOLOGIE POUR ENFANTS";47;4;1
"IR_DDP_V";0;NA;465;"CURE MEDICALE SPECIALISEE PNEUMOLOGIQUE POUR TOUS AGES";48;4;1
