"nom_table";"TEC_COL";"CPT_COP_NUM";"INV_PEN_ETA";"INV_ETA_LIB"
"IR_EIN_V";0;NA;10;"SUPPRESSION COMPLETE DE LA PENSION D INVALIDITE  : RETOUR VALIDITE"
"IR_EIN_V";0;NA;11;"SUPPRESSION COMPLETE DE LA PENSION D INVALIDITE  : VIEILLESSE"
"IR_EIN_V";0;NA;12;"SUPPRESSION COMPLETE DE LA PENSION D INVALIDITE  : DECES"
"IR_EIN_V";0;NA;13;"SUPPRESSION COMPLETE DE LA PENSION D INVALIDITE  : AUTRES MOTIFS"
"IR_EIN_V";0;NA;14;"SUPPRESSION COMPLETE DE LA PENSION D INVALIDITE  : ART. 69 DEC. 45"
"IR_EIN_V";0;NA;20;"SUSPENSION PARTIELLE DE LA PENSION D INVALIDITE  : RETOUR VALIDITE"
"IR_EIN_V";0;NA;21;"SUSPENSION  PARTIELLE DE LA PENSION D INVALIDITE  : VIEILLESSE"
"IR_EIN_V";0;NA;22;"SUSPENSION PARTIELLE DE LA PENSION D INVALIDITE  : DECES"
"IR_EIN_V";0;NA;23;"SUSPENSION  PARTIELLE DE LA PENSION D INVALIDITE  : AUTRES MOTIFS"
"IR_EIN_V";0;NA;24;"SUSPENSION  PARTIELLE DE LA PENSION D INVALIDITE  : ART. 69 DEC. 45"
"IR_EIN_V";0;NA;30;"SUSPENSION TOTALE DE LA PENSION D INVALIDITE  : RETOUR VALIDITE"
"IR_EIN_V";0;NA;31;"SUSPENSION TOTALE DE LA PENSION D INVALIDITE  : VIEILLESSE"
"IR_EIN_V";0;NA;32;"SUSPENSION TOTALE DE LA PENSION D INVALIDITE  : DECES"
"IR_EIN_V";0;NA;33;"SUSPENSION TOTALE DE LA PENSION D INVALIDITE  : AUTRES MOTIFS"
"IR_EIN_V";0;NA;34;"SUSPENSION TOTALE DE LA PENSION D INVALIDITE  : ART. 69 DEC. 45"
"IR_EIN_V";0;NA;50;"ATTRIBUTION PENSION COMPLETE"
"IR_EIN_V";0;NA;51;"ATTRIBUTION PENSION SUSPENSION PARTIELLE"
"IR_EIN_V";0;NA;52;"ATTRIBUTION PENSION SUSPENSION ADMINISTRATIVE TOTALE"
"IR_EIN_V";0;NA;53;"ATTRIBUTION PENSION SUSPENSION MEDICALE TOTALE"
"IR_EIN_V";0;NA;71;"SUSPENSION PENSION REDUITE"
"IR_EIN_V";0;NA;72;"PENSION SUSPENSION ADMINISTRATIVE TOTALE"
"IR_EIN_V";0;NA;73;"PENSION SUSPENSION MEDICALE TOTALE"
"IR_EIN_V";1;NA;99;"VALEUR INCONNUE"
