"nom_table";"TEC_COL";"CPT_COP_NUM";"PRS_PPF_COD";"PRS_PPF_LIB"
"IR_PAF_V";0;NA;"A";"PLAFOND ANNUEL POUR LA PF OU LA FRANCHISE ATTEINT"
"IR_PAF_V";0;NA;"C";"PLAFOND ANNUEL MINORE POUR LA FRANCHISE ATTEINT"
"IR_PAF_V";0;NA;"D";"PLAFOND JOURNALIER MINORE POUR FRANCHISE ATTEINT"
"IR_PAF_V";0;NA;"E";"ANOMALIE D'ACCES BASE"
"IR_PAF_V";0;NA;"F";"PLAFOND ANNUEL TOTAL DES FRANCHISES ATTEINT"
"IR_PAF_V";0;NA;"H";"PLAFOND ANNUEL TOTAL MINORE DES FRANCHISES ATTEINT"
"IR_PAF_V";1;NA;"I";"VALEUR INCONNUE"
"IR_PAF_V";0;NA;"J";"PLAFOND JOURNALIER POUR LA PF OU FRANCHISE ATTEINT"
"IR_PAF_V";0;NA;"N";"ACTE EXCLU DE LA PARTICIPATION (PF OU FRANCHISE)"
"IR_PAF_V";0;NA;"P";"PLAFOND ANNUEL CUMULE (PF + FR) ATTEINT"
"IR_PAF_V";0;NA;"R";"PLAFOND ANNUEL CUMULE MINORE (PF + FR) ATTEINT"
"IR_PAF_V";0;NA;"S";"ACTE SOUMIS A LA PARTICIPATION (PF OU FRANCHISE)"
"IR_PAF_V";2;NA;"T";"SANS OBJET"
"IR_PAF_V";0;NA;"K";"écrêtement des franchises"
"IR_PAF_V";0;NA;"Q";"écrêtement des franchises plafond quotidien"
"IR_PAF_V";0;NA;"L";"écrêtement des franchises plafond annuel"
