"nom_table";"TEC_COL";"CPT_COP_NUM";"BEN_NIR_COD";"BEN_NIR_LIB";"TOP_NIR_SNI"
"IR_NIR_V";0;NA;"00";"NIR NORMAL (ni fictif ni provisoire)";0
"IR_NIR_V";0;NA;"01";"NIR FICTIF IVG";1
"IR_NIR_V";0;NA;"03";"NIR D UN MIGRANT PROVISOIRE PASSAGE (commence par 5 ou 6)";0
"IR_NIR_V";0;NA;"04";"NIR D UN ASSURE PROVISOIRE (commence par 7 ou 8)";0
"IR_NIR_V";0;NA;"05";"NIR FICTIF IST";1
"IR_NIR_V";0;NA;"06";"NIR FICTIF IVG DES MINEURES SANS CONSENTEMENT PARENTAL";1
"IR_NIR_V";0;NA;"08";"NIR FICTIF AUTRE";1
"IR_NIR_V";0;NA;"09";"NIR FICTIF DES AIDES A LA TELETRANSMISSION";1
"IR_NIR_V";0;NA;"11";"NIR FICTIF CONTRACEPTION DES MINEURES";1
"IR_NIR_V";0;NA;"12";"ALD MINEUR";1
"IR_NIR_V";1;NA;"99";"valeur inconnue";0
"IR_NIR_V";2;NA;"NN";"sans objet";0
"IR_NIR_V";0;NA;"13";"NIR MATERNITE PS";1
"IR_NIR_V";0;NA;"14";"NIR PATERNITE PS";1
"IR_NIR_V";0;NA;"15";"NIR ADOPTION PS";1
