"nom_table";"TEC_COL";"CPT_COP_NUM";"QPS_QPS_COD";"QPS_MOD_COD";"QPS_COD_LIB";"QPS_NPS_COD"
"IR_QPS_V";0;NA;0;"";"SANS OBJET";"Z"
"IR_QPS_V";0;NA;10;"B";"GENERALISTE INSTALLE DEPUIS MOINS DE 5 ANS DANS UNE ZONE DEFICITAIRE";"P"
"IR_QPS_V";0;NA;11;"V";"CABINET SECONDAIRE DU MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;12;"J";" GENERALISTE PRIMO INSTALLE DEPUIS MOINS DE 5 ANS";"P"
"IR_QPS_V";0;NA;13;"Y";"EXCLUSION TEMPORAIRE AVEC MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;1;"T";"L'EXECUTANT EST LE MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;21;"E";"TOLERANCE DEJA ENREGISTREE";"H"
"IR_QPS_V";0;NA;22;"I";"PARCOURS DE SOINS NON RENSEIGNE PAR EXECUTANT DIFFERENT MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;23;"P";"HORS COORDINATION DES SOINS, AVEC MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;24;"S";"HORS COORDINATION DES SOINS SANS MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;25;"W";"URGENCE SANS MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;26;"F";"SPECIALITE HORS ACCES DIRECT AVEC MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;27;"Z";"EXCLUSION TEMPORAIRE SANS MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;28;"C";"ACTES HORS ACCES DIRECT SPECIFIQUE AVEC MEDECIN TRAITANT DECLARE";"H"
"IR_QPS_V";0;NA;2;"N";"NOUVEAU MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";2;NA;31;"X";"EXCLUS DU PARCOURS DE SOINS";"O"
"IR_QPS_V";0;NA;32;"K";"EXCLUSION DES BENEFICIAIRES AFFILIES AU REGIME DE LA CSS DE MAYOTTE (976) - REGIME MAHORAIS";"P"
"IR_QPS_V";0;NA;33;"L";"EXCLUSION DES BENEFICIAIRES DE MOINS DE 16 ANS AVEC MT DECLARE A LA DATE DES SOINS";"P"
"IR_QPS_V";0;NA;3;"O";"PATIENT ORIENTE PAR UN MT";"P"
"IR_QPS_V";0;NA;4;"D";"ACTES EN ACCES DIRECT SPECIFIQUE AVEC MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;5;"U";"URGENCE AVEC MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;6;"H";"HORS RESIDENCE HABITUELLE";"P"
"IR_QPS_V";0;NA;7;"R";"MEDECIN TRAITANT REMPLACE AVEC MEDECIN TRAITANT DECLARE";"P"
"IR_QPS_V";0;NA;8;"A";"ACTE EN RAPPORT AVEC ART. D162.1.6 DU CODE DE LA SS (TABACOLOGIE, ALCOOLOGIE, TOXICOMANIE)";"P"
"IR_QPS_V";1;NA;99;"9";"VALEUR INCONNUE";"Z"
"IR_QPS_V";0;NA;34;"G";"EXCLUSION DES BENEFICIAIRES DE MOINS DE 16 ANS SANS MT DECLARE A LA DATE DES SOINS";"P"
