"nom_table";"TEC_COL";"DCT_CTL_COD";"CTL_COD_LIB";"CPT_COP_NUM"
"IR_CLC_V";2;0;"SANS OBJET";NA
"IR_CLC_V";0;41;"CONTROLE OBLIGATOIRE PAR SONDAGE";NA
"IR_CLC_V";0;42;"CONTROLE OBLIGATOIRE EXHAUSTIF";NA
"IR_CLC_V";0;43;"ALEATOIRE PAR PAS DE XX %";NA
"IR_CLC_V";0;44;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;45;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;46;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;47;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;48;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;49;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;50;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;51;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;52;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;53;"CONTROLE SUR LIGNE DE PRESTATION";NA
"IR_CLC_V";0;54;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;55;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;56;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;57;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;58;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;59;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;60;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;61;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;62;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;63;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;64;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;65;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;66;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;67;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;68;"CONTROLE SUR RUBRIQUE FAL";NA
"IR_CLC_V";0;69;"MODE DE REGLEMENT ET/OU MONTANT";NA
"IR_CLC_V";0;70;"MODE DE REGLEMENT ET/OU MONTANT";NA
"IR_CLC_V";0;71;"TECHNICIEN";NA
"IR_CLC_V";0;72;"TECHNICIEN";NA
"IR_CLC_V";0;73;"TECHNICIEN";NA
"IR_CLC_V";0;74;"TECHNICIEN";NA
"IR_CLC_V";0;75;"TECHNICIEN";NA
"IR_CLC_V";0;76;"TECHNICIEN";NA
"IR_CLC_V";0;77;"TECHNICIEN";NA
"IR_CLC_V";0;78;"TECHNICIEN";NA
"IR_CLC_V";0;79;"TECHNICIEN";NA
"IR_CLC_V";0;80;"TECHNICIEN";NA
"IR_CLC_V";0;81;"PRATICIEN";NA
"IR_CLC_V";0;82;"PRATICIEN";NA
"IR_CLC_V";0;83;"PRATICIEN";NA
"IR_CLC_V";0;84;"PRATICIEN";NA
"IR_CLC_V";0;85;"PRATICIEN";NA
"IR_CLC_V";0;86;"PRATICIEN";NA
"IR_CLC_V";0;87;"PRATICIEN";NA
"IR_CLC_V";0;88;"PRATICIEN";NA
"IR_CLC_V";0;89;"PRATICIEN";NA
"IR_CLC_V";0;90;"PRATICIEN";NA
"IR_CLC_V";0;91;"PRATICIEN";NA
"IR_CLC_V";0;92;"PRATICIEN";NA
"IR_CLC_V";0;93;"PRATICIEN";NA
"IR_CLC_V";0;94;"PRATICIEN";NA
"IR_CLC_V";0;95;"PRATICIEN";NA
"IR_CLC_V";0;96;"AUTRES CRITERES";NA
"IR_CLC_V";1;99;"VALEUR INCONNUE";NA
