"nom_table";"TEC_COL";"CPT_COP_NUM";"RGM_GRG_COD";"RGM_COD";"RGM_LIB";"RGM_COM";"TOP_CPI"
"IR_RGM_V";0;NA;4;556;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 556";"regime special de securite sociale de la s.n.c.f . 556";0
"IR_RGM_V";0;NA;4;557;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 557";"regime special de securite sociale de la s.n.c.f . 557";0
"IR_RGM_V";0;NA;4;558;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 558";"regime special de securite sociale de la s.n.c.f . 558";0
"IR_RGM_V";0;NA;4;559;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 559";"regime special de securite sociale de la s.n.c.f . 559";0
"IR_RGM_V";0;NA;4;560;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 560";"regime special de securite sociale de la s.n.c.f . 560";0
"IR_RGM_V";0;NA;4;561;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 561";"regime special de securite sociale de la s.n.c.f . 561";0
"IR_RGM_V";0;NA;4;562;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 562";"regime special de securite sociale de la s.n.c.f . 562";0
"IR_RGM_V";0;NA;4;563;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 563";"regime special de securite sociale de la s.n.c.f . 563";0
"IR_RGM_V";0;NA;4;564;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 564";"regime special de securite sociale de la s.n.c.f . 564";0
"IR_RGM_V";0;NA;4;565;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 565";"regime special de securite sociale de la s.n.c.f . 565";0
"IR_RGM_V";0;NA;4;566;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 566";"regime special de securite sociale de la s.n.c.f . 566";0
"IR_RGM_V";0;NA;4;567;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 567";"regime special de securite sociale de la s.n.c.f . 567";0
"IR_RGM_V";0;NA;4;568;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 568";"regime special de securite sociale de la s.n.c.f . 568";0
"IR_RGM_V";0;NA;4;569;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 569";"regime special de securite sociale de la s.n.c.f . 569";0
"IR_RGM_V";0;NA;4;570;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 570";"regime special de securite sociale de la s.n.c.f . 570";0
"IR_RGM_V";0;NA;4;571;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 571";"regime special de securite sociale de la s.n.c.f . 571";0
"IR_RGM_V";0;NA;4;572;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 572";"regime special de securite sociale de la s.n.c.f . 572";0
"IR_RGM_V";0;NA;4;573;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 573";"regime special de securite sociale de la s.n.c.f . 573";0
"IR_RGM_V";0;NA;4;574;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 574";"regime special de securite sociale de la s.n.c.f . 574";0
"IR_RGM_V";0;NA;4;575;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 575";"regime special de securite sociale de la s.n.c.f . 575";0
"IR_RGM_V";0;NA;4;576;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 576";"regime special de securite sociale de la s.n.c.f . 576";0
"IR_RGM_V";0;NA;4;577;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 577";"regime special de securite sociale de la s.n.c.f . 577";0
"IR_RGM_V";0;NA;4;578;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 578";"regime special de securite sociale de la s.n.c.f . 578";0
"IR_RGM_V";0;NA;4;579;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 579";"regime special de securite sociale de la s.n.c.f . 579";0
"IR_RGM_V";0;NA;4;580;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 580";"regime special de securite sociale de la s.n.c.f . 580";0
"IR_RGM_V";0;NA;4;581;"REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 581";"regime special de securite sociale de la s.n.c.f . 581";0
