CODE_UCD;LISTE;NOM_COURT;DT_DINSCRI;DT_FINSCRI;MOTIF_FIN;LABO_EXP;DT_SOURDOC;DT_APPRIX;PRIX_HT;PRIX_TTC;T_FACTURE;MARGE_TTC;DT_APTAUX;TAUX;DT_DCOUSUP;DT_FCOUSUP;DT_APMAJO;MAJO_971;MAJO_972;MAJO_973;MAJO_974;DT_DLPRIVE;DT_FLPRIVE;DT_DLPUBLI;DT_FLPUBLI;NOM_LONG1;NOM_LONG2;ETAT;COD_FORME;FORME;COD_CFORME;CPMTFORME;DDD;D_ADMINIST;PAR_VOIE;COD_ATC;CLASSE_ATC;COD_EPHMRA;CLA_EPHMRA;RH;PH;PIH;SP;PS
9216925;R;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 100 ml;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;9,08;9,27;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 100 ml;;S;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9217362;R;VIDEX 125 mg gélule gastro-résistante;27/12/2004;;;BRISTOL MYERS SQUIBB;29/04/2009;01/01/2010;1,829;1,87;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIDEX 125 mg gélule gastro-résistante;;S;21.0;GELULE;332.0;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9217379;R;VIDEX 200 mg gélule gastro-résistante;27/12/2004;;;BRISTOL MYERS SQUIBB;29/04/2009;01/01/2010;2,927;2,99;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIDEX 200 mg gélule gastro-résistante;;S;21.0;GELULE;332.0;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9217385;R;VIDEX 250 mg gélules gastro-résistante;27/12/2004;;;BRISTOL MYERS SQUIBB;29/04/2009;01/01/2010;3,659;3,74;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIDEX 250 mg gélules gastro-résistante;;S;21.0;GELULE;332.0;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9217391;R;VIDEX 400 mg gélule gastro-résistante;27/12/2004;;;BRISTOL MYERS SQUIBB;29/04/2009;01/01/2010;5,854;5,98;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIDEX 400 mg gélule gastro-résistante;;S;21.0;GELULE;332.0;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9217592;R;CISPLATINE MYLAN 10 MG/10 ML solution à diluer pour perfusion en flacon de 10 ml;11/05/2005;;;MYLAN SAS;10/11/2009;01/01/2010;1,3;1,33;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE MYLAN 10 MG/10 ML solution à diluer pour perfusion en flacon de 10 ml;;D;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9217600;R;CISPLATINE MYLAN 25 MG/25 ML solution à diluer pour perfusion en flacon de 25 ml;11/05/2005;;;MYLAN SAS;10/11/2009;01/01/2010;2,3;2,35;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE MYLAN 25 MG/25 ML solution à diluer pour perfusion en flacon de 25 ml;;D;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9233697;R;MYOCET 50 mg Poudre et pré-mélanges pour solution à diluer pour dispersion liposomale pour perfusion en flacons;11/05/2005;;;CEPHALON;29/04/2009;01/01/2010;615;627,92;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;MYOCET 50 mg Poudre et pré-mélanges pour solution à diluer pour dispersion liposomale pour perfusion en flacons;;D;44.0;POUDRE;322.0;LYOPHILISE(E) LIPOSOME POUDRE POUR SOLUT;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9233697;T;MYOCET 50 mg Poudre et pré-mélanges pour solution à diluer pour dispersion liposomale pour perfusion en flacons;11/05/2005;;;CEPHALON;29/04/2009;11/05/2005;615;627,92;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;MYOCET 50 mg Poudre et pré-mélanges pour solution à diluer pour dispersion liposomale pour perfusion en flacons;;D;44.0;POUDRE;322.0;LYOPHILISE(E) LIPOSOME POUDRE POUR SOLUT;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9234047;R;PROTEXEL 50 UI/ml poudre et solvant pour solution injectable;27/12/2004;;;LFB-BIOMEDICAMENTS;29/04/2009;01/01/2010;907;926,05;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;PROTEXEL 50 UI/ml poudre et solvant pour solution injectable;;D;44.0;POUDRE;314.0;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B01AD12;PROTEINE C;B01X;AUTRES MEDICAMENTS ANTITHROMBOTIQUES;N;O;N;N;N
